date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:19	69/69	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2009:21:17%20GMT	http://jichel.me/robots.txt		(from )
14:21:20	60005/60005	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2009:21:18%20GMT	http://jichel.me/	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/jichel.me/index.html	(from )
14:21:21	46360/46360	---M--	200	added ('OK')	text/css	etag:%22e697c-b518-55720d7581fc0%22	http://www.jichel.me/wp-includes/css/dashicons.min.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-includes/css/dashicons.min.css	(from http://jichel.me/)
14:21:22	2658/2658	---M--	200	added ('OK')	text/css	etag:%22127fee-a62-558c2509e3ac0%22	http://www.jichel.me/wp-includes/js/thickbox/thickbox.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-includes/js/thickbox/thickbox.css	(from http://jichel.me/)
14:21:22	21133/21133	---M--	200	added ('OK')	text/css	etag:%22127d46-528d-56544087acb80%22	http://www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css	(from http://jichel.me/)
14:21:23	1685/1685	---M--	200	added ('OK')	text/css	etag:%22144fc5-695-57d5966cfa980%22	http://www.jichel.me/wp-content/plugins/contact-form-7/includes/css/styles.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/contact-form-7/includes/css/styles.css	(from http://jichel.me/)
14:21:24	39755/39755	---M--	200	added ('OK')	text/css	etag:%22164e0e-9b4b-5654409ca7d00%22	http://www.jichel.me/wp-content/plugins/revslider/public/assets/css/settings.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/revslider/public/assets/css/settings.css	(from http://jichel.me/)
14:21:24	163/163	---M--	200	added ('OK')	text/css	etag:%22e67d4-a3-57f50962a0240%22	http://www.jichel.me/wp-content/plugins/wp-advanced-pdf/asset/css/front_end.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/wp-advanced-pdf/asset/css/front_end.css	(from http://jichel.me/)
14:21:26	281539/281539	---M--	200	added ('OK')	text/css	etag:%22e6826-44bc3-59732787a6740%22	http://www.jichel.me/wp-content/themes/creativo/style.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/themes/creativo/style.css	(from http://jichel.me/)
14:21:26	39751/39751	---M--	200	added ('OK')	text/css	etag:%22282c57-9b47-565a83aaed240%22	http://www.jichel.me/wp-content/themes/creativo/css/fontawesome/css/font-awesome.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/themes/creativo/css/fontawesome/css/font-awesome.css	(from http://jichel.me/)
14:21:28	1167/1167	---M--	200	added ('OK')	text/css	etag:%222661c3-48f-565a83aaed240%22	http://www.jichel.me/wp-content/themes/creativo/css/customfonts/css/style.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/themes/creativo/css/customfonts/css/style.css	(from http://jichel.me/)
14:21:29	48710/48710	---M--	200	added ('OK')	text/css	etag:%22223cc8-be46-565a83aaed240%22	http://www.jichel.me/wp-content/themes/creativo/css/responsive.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/themes/creativo/css/responsive.css	(from http://jichel.me/)
14:21:30	462190/462190	---M--	200	added ('OK')	text/css	etag:%22e66be-70d6e-5654407a52c00%22	http://www.jichel.me/wp-content/plugins/js_composer/assets/css/js_composer.min.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/js_composer/assets/css/js_composer.min.css	(from http://jichel.me/)
14:21:32	24775/24775	---M--	200	added ('OK')	text/css	etag:%22223cca-60c7-565a83aaed240%22	http://www.jichel.me/wp-content/themes/creativo/css/vc_style.min.css	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/themes/creativo/css/vc_style.min.css	(from http://jichel.me/)
14:21:35	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%22127f96-2748-5333ff613c400%22	http://www.jichel.me/wp-includes/js/jquery/jquery-migrate.min.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-includes/js/jquery/jquery-migrate.min.js	(from http://jichel.me/)
14:21:40	23831/23831	---M--	200	added ('OK')	application/javascript	etag:%22127d4a-5d17-56544087acb80%22	http://www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js	(from http://jichel.me/)
14:21:46	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%22127f9c-17ba0-5337eac0d4540%22	http://www.jichel.me/wp-includes/js/jquery/jquery.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-includes/js/jquery/jquery.js	(from http://jichel.me/)
14:21:53	117557/117557	---M--	200	added ('OK')	application/javascript	etag:%22127d47-1cb35-56544087acb80%22	http://www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js	(from http://jichel.me/)
14:21:53	116595/116595	---M--	200	added ('OK')	application/javascript	etag:%22127d49-1c773-56544087acb80%22	http://www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js	(from http://jichel.me/)
14:21:54	2743/2743	---M--	200	added ('OK')	application/javascript	etag:%22106030-ab7-57f50962a0240%22	http://www.jichel.me/wp-content/plugins/wp-advanced-pdf/asset/js/ajaxsave.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/wp-advanced-pdf/asset/js/ajaxsave.js	(from http://jichel.me/)
14:21:57	64904/64904	---M--	200	added ('OK')	application/javascript	etag:%221852fb-fd88-5654409ca7d00%22	http://www.jichel.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	(from http://jichel.me/)
14:21:57	17426/17426	---M--	200	added ('OK')	image/jpeg	etag:%222a1f86-4412-57e601b727780%22	http://www.jichel.me/wp-content/uploads/2018/03/cropped-JS03-32x32.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/03/cropped-JS03-32x32.jpg	(from http://jichel.me/)
14:21:57	110563/110563	---M--	200	added ('OK')	application/javascript	etag:%221852fc-1afe3-5654409ca7d00%22	http://www.jichel.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	(from http://jichel.me/)
14:21:57	21045/21045	---M--	200	added ('OK')	image/jpeg	etag:%222a1f81-5235-57e601b727780%22	http://www.jichel.me/wp-content/uploads/2018/03/cropped-JS03-192x192.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/03/cropped-JS03-192x192.jpg	(from http://jichel.me/)
14:21:58	1586/1586	---M--	200	added ('OK')	image/png	etag:%222a1d78-632-567f4d2b03e00%22	http://www.jichel.me/wp-content/uploads/2018/03/JS_Final01-e1521676088660.png	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/03/JS_Final01-e1521676088660.png	(from http://jichel.me/)
14:21:58	20868/20868	---M--	200	added ('OK')	image/jpeg	etag:%222a1f80-5184-57e601b727780%22	http://www.jichel.me/wp-content/uploads/2018/03/cropped-JS03-180x180.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/03/cropped-JS03-180x180.jpg	(from http://jichel.me/)
14:22:08	64885/64885	---M--	200	added ('OK')	image/jpeg	etag:%222a256b-fd75-57fd221a6ea00%22	http://www.jichel.me/wp-content/uploads/2019/01/johnny-cupcakes-new.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2019/01/johnny-cupcakes-new.jpg	(from http://jichel.me/)
14:22:09	63370/63370	---M--	200	added ('OK')	image/jpeg	etag:%222a23c6-f78a-57aa11b20a1c0%22	http://www.jichel.me/wp-content/uploads/2018/11/webheay-purple.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/11/webheay-purple.jpg	(from http://jichel.me/)
14:22:14	96558/96558	---M--	200	added ('OK')	image/jpeg	etag:%222a2304-1792e-57aa11c705340%22	http://www.jichel.me/wp-content/uploads/2018/11/lavelle-networks-orange.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/11/lavelle-networks-orange.jpg	(from http://jichel.me/)
14:22:27	74891/74891	---M--	200	added ('OK')	image/jpeg	etag:%222a2336-1248b-57aa11c428c80%22	http://www.jichel.me/wp-content/uploads/2018/11/lovely-beards-teal.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/11/lovely-beards-teal.jpg	(from http://jichel.me/)
14:22:27	110152/110152	---M--	200	added ('OK')	image/jpeg	etag:%222a225e-1ae48-57aa11c058380%22	http://www.jichel.me/wp-content/uploads/2018/11/economad-blue.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/11/economad-blue.jpg	(from http://jichel.me/)
14:22:28	4009/4009	---M--	200	added ('OK')	image/png	etag:%222a2573-fa9-57f82d62861c0%22	http://www.jichel.me/wp-content/uploads/2019/01/logo.png	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2019/01/logo.png	(from http://jichel.me/)
14:22:30	13163/13163	---M--	200	added ('OK')	application/javascript	etag:%22127fef-336b-5337fedeabb40%22	http://www.jichel.me/wp-includes/js/thickbox/thickbox.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-includes/js/thickbox/thickbox.js	(from http://jichel.me/)
14:22:31	14440/14440	---M--	200	added ('OK')	application/javascript	etag:%22144fc6-3868-57d5966cfa980%22	http://www.jichel.me/wp-content/plugins/contact-form-7/includes/js/scripts.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/contact-form-7/includes/js/scripts.js	(from http://jichel.me/)
14:22:31	144285/144285	---M--	200	added ('OK')	image/jpeg	etag:%222a2389-2339d-57aa11b4e6880%22	http://www.jichel.me/wp-content/uploads/2018/11/vape-1000-pink.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/11/vape-1000-pink.jpg	(from http://jichel.me/)
14:22:32	2663/2663	---M--	200	added ('OK')	application/javascript	etag:%22246c39-a67-57fc2ed68bac0%22	http://www.jichel.me/wp-content/themes/creativo/js/custom.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/themes/creativo/js/custom.js	(from http://jichel.me/)
14:22:33	1316/1316	---M--	200	added ('OK')	application/javascript	etag:%221a7adf-524-59b6868e07d80%22	http://www.jichel.me/wp-content/plugins/page-links-to/dist/new-tab.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/page-links-to/dist/new-tab.js	(from http://jichel.me/)
14:22:33	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%22e6a1e-576-541f8014be840%22	http://www.jichel.me/wp-includes/js/wp-embed.min.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-includes/js/wp-embed.min.js	(from http://jichel.me/)
14:22:37	20450/20450	---M--	200	added ('OK')	application/javascript	etag:%221a7a99-4fe2-56544072b1a00%22	http://www.jichel.me/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js	(from http://jichel.me/)
14:22:37	260486/260486	---M--	200	added ('OK')	image/jpeg	etag:%222a2234-3f986-57aa11bc87a80%22	http://www.jichel.me/wp-content/uploads/2018/11/aia-pale-red.jpg	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/uploads/2018/11/aia-pale-red.jpg	(from http://jichel.me/)
14:22:38	48687/48687	---M--	200	added ('OK')	application/javascript	etag:%22246c3b-be2f-568b714b0fac0%22	http://www.jichel.me/wp-content/themes/creativo/js/main.js	D:/My%20Web%20Sites/Jichel%20Portfolio%20Site/www.jichel.me/wp-content/themes/creativo/js/main.js	(from http://jichel.me/)
